GeneName	Sources	Studies	Traits
HSD17B1	MAGMA	Mahajan2022	T2D
HSD17B12	MAGMA,eTWAS,sTWAS,TIGEReQTL,TIGERCASE	Mahajan2022,Mahajan2018	T2D
HSDL1	DEPICT	Lagou2023	RandomGlucose
HSF1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
HYOU1	MAGMA	Mahajan2022	T2D
IAPP	DEPICT	Lagou2023	RandomGlucose
IDE	MAGMA	Mahajan2022,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di	T2D,FirstPhaseInsRel,DispositionIndex
IFT172	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Lagou2023	T2D,FG,FI,RandomGlucose
IFT52	MAGMA	Mahajan2022	T2D
IFT80	DEPICT	Lagou2023	RandomGlucose
IGF1R	MAGMA	MAGIC2021_FG	FG
IGF2	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,Lagou2023	T2D,FG,HbA1C,RandomGlucose
IGF2BP2	MAGMA,TIGEReQTL,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,MAGIC_2hGlu,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_di,Mahajan2018,Lagou2023	T2D,FG,HbA1C,2hGlu,FirstPhaseInsRel,DispositionIndex,RandomGlucose
IKBKAP	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
IKZF2	pcHiC	Mahajan2022	T2D
IL20RA	pcHiC,MAGMA	Mahajan2022	T2D
IMP3	MAGMA	Mahajan2022	T2D
IMPDH2	DEPICT	Lagou2023	RandomGlucose
INO80E	MAGMA,eTWAS	Mahajan2022	T2D
INPP5E	MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
INS	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c,Lagou2023	T2D,FG,HbA1C,RandomGlucose
INS-IGF2	pcHiC,MAGMA	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c	T2D,FG,HbA1C
INSR	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
INTS8	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
IP6K2	DEPICT	Lagou2023	RandomGlucose
IPP	MAGMA	Mahajan2022	T2D
ISG20L2	DEPICT	Lagou2023	RandomGlucose
ISL1	pcHiC	Mahajan2022	T2D
IST1	DEPICT	Lagou2023	RandomGlucose
ITCH	MAGMA	Mahajan2022	T2D
ITFG3	MAGMA,eTWAS,TIGEReQTL,TIGERCASE,DEPICT	Mahajan2022,MAGIC2021_HbA1c,Mahajan2018,Lagou2023	T2D,HbA1C,RandomGlucose
ITGA1	pcHiC	Mahajan2022	T2D
ITGB3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
ITIH4	sTWAS	Mahajan2022,MAGIC2021_HbA1c	T2D,HbA1C
JADE2	MAGMA	Mahajan2022	T2D
JAZF1	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
JMJD1C	pcHiC	Mahajan2022	T2D
JMJD1C-AS1	pcHiC,MAGMA	Mahajan2022	T2D
JMJD7	pcHiC,MAGMA	Mahajan2022	T2D
JMJD7-PLA2G4B	pcHiC,MAGMA	Mahajan2022	T2D
JMY	pcHiC,MAGMA	Mahajan2022	T2D
JTB	DEPICT	Lagou2023	RandomGlucose
KAT6A	MAGMA	Mahajan2022	T2D
KBTBD4	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
KCNH2	pcHiC	Mahajan2022	T2D
KCNH7	pcHiC,MAGMA	Mahajan2022	T2D
KCNJ11	MAGMA,TIGERCASE,DEPICT	Mahajan2022,Mahajan2018,Lagou2023	T2D,RandomGlucose
KCNK16	MAGMA,sTWAS	Mahajan2022	T2D
KCNK17	MAGMA	Mahajan2022	T2D
KCNQ1	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
KCNQ1OT1	pcHiC,MAGMA	Mahajan2022	T2D
KCTD17	MAGMA	MAGIC2021_HbA1c	HbA1C
KDM2B	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
KDM4A	DEPICT	Lagou2023	RandomGlucose
KDM5A	MAGMA	Mahajan2022	T2D
KDSR	MAGMA	Mahajan2022,MAGIC_FI	T2D,FI
KHK	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
KIAA0100	MAGMA	MAGIC2021_HbA1c	HbA1C
KIAA0586	sTWAS	Mahajan2022	T2D
KIAA0754	MAGMA	Mahajan2022	T2D
KIAA1731	pcHiC	Mahajan2022	T2D
KIF11	MAGMA	Mahajan2022,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di	T2D,FirstPhaseInsRel,DispositionIndex
KL	pcHiC,TIGEReQTL,DEPICT	Mahajan2022,Mahajan2018,Lagou2023	T2D,RandomGlucose
KLC2	MAGMA	Mahajan2022	T2D
KLF7	DEPICT	Lagou2023	RandomGlucose
KLHDC8B	DEPICT	Lagou2023	RandomGlucose
KLHL29	MAGMA	MAGIC2021_HbA1c	HbA1C
KLHL42	MAGMA,eTWAS,TIGEReQTL	Mahajan2022,Mahajan2018	T2D
KPNA2	MAGMA	Mahajan2022	T2D
KPNA4	DEPICT	Lagou2023	RandomGlucose
KPNB1	DEPICT	Lagou2023	RandomGlucose
KRT8P12	DEPICT	Lagou2023	RandomGlucose
KRTCAP3	MAGMA,sTWAS,DEPICT	Mahajan2022,MAGIC2021_FG,MAGIC_FI,Mahajan2018,Lagou2023	T2D,FG,FI,RandomGlucose
KSR2	pcHiC	Mahajan2022	T2D
L3MBTL2	MAGMA	Mahajan2022	T2D
LAMA1	MAGMA	Mahajan2022	T2D
LAMB2	DEPICT	Lagou2023	RandomGlucose
LARP4	DEPICT	Lagou2023	RandomGlucose
LCMT2	MAGMA	Mahajan2022	T2D
LCORL	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
LDHB	MAGMA	MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_cir	FirstPhaseInsRel
LIF	DEPICT	Lagou2023	RandomGlucose
LIMA1	DEPICT	Lagou2023	RandomGlucose
LINC00261	pcHiC,MAGMA,eTWAS,sTWAS	Mahajan2022,MAGIC2021_FG	T2D,FG
LINC00907	MAGMA	Mahajan2022	T2D
LINC00984	pcHiC,MAGMA	Mahajan2022	T2D
LIPH	MAGMA	Mahajan2022	T2D
LMO1	DEPICT	Lagou2023	RandomGlucose
LMTK2	MAGMA	Mahajan2022	T2D
LPIN3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
LPL	MAGMA	Mahajan2022	T2D
LPP	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
LPP-AS2	pcHiC	Mahajan2022	T2D
LRP1	DEPICT	Lagou2023	RandomGlucose
LRP12	eTWAS,TIGEReQTL	Mahajan2022,Mahajan2018	T2D
LRP4	MAGMA	MAGIC2021_FG	FG
LRRC14	pcHiC,MAGMA	Mahajan2022	T2D
LRRC24	MAGMA	Mahajan2022	T2D
LRRC48	MAGMA	Mahajan2022	T2D
LRRC8E	MAGMA	Mahajan2022	T2D
LSAMP	DEPICT	Lagou2023	RandomGlucose
LTBP3	pcHiC,MAGMA,sTWAS,TIGEReQTL	Mahajan2022,Mahajan2018	T2D
LUC7L	DEPICT	Lagou2023	RandomGlucose
LYPLAL1	MAGMA	Mahajan2022,MAGIC_FI	T2D,FI
MACF1	pcHiC,MAGMA	Mahajan2022	T2D
MAD2L1BP	pcHiC	Mahajan2022	T2D
MADD	MAGMA,eTWAS,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
MAEA	pcHiC,MAGMA	Mahajan2022	T2D
MAF	DEPICT	Lagou2023	RandomGlucose
MAFA	MAGMA	Mahajan2022	T2D
MAGI1	DEPICT	Lagou2023	RandomGlucose
MALAT1	MAGMA	Mahajan2022	T2D
MAN2A2	MAGMA	Mahajan2022	T2D
MAN2C1	MAGMA,sTWAS	Mahajan2022,Mahajan2018	T2D
MANBA	pcHiC	Mahajan2022	T2D
MAP1A	MAGMA	Mahajan2022	T2D
MAP1LC3B	DEPICT	Lagou2023	RandomGlucose
MAP2K5	MAGMA	Mahajan2022	T2D
MAP2K7	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MAP3K11	pcHiC,MAGMA	Mahajan2022	T2D
MAP3K13	MAGMA	Mahajan2022	T2D
MAPK4	DEPICT	Lagou2023	RandomGlucose
MAPK8IP1	MAGMA	Mahajan2022,MAGIC2021_FG,MadsenAL_dibig	T2D,FG,DispositionIndex
MAPKAPK5	DEPICT	Lagou2023	RandomGlucose
MAPKBP1	pcHiC,MAGMA	Mahajan2022	T2D
MAPRE3	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
MAPT	DEPICT	Lagou2023	RandomGlucose
MARCH5	pcHiC,MAGMA	Mahajan2022	T2D
MARVELD3	DEPICT	Lagou2023	RandomGlucose
MAST2	MAGMA	Mahajan2022,MAGIC2021_HbA1c	T2D,HbA1C
MAU2	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MBNL1	pcHiC,MAGMA,sTWAS,DEPICT	Mahajan2022,MAGIC2021_FG,Lagou2023	T2D,FG,RandomGlucose
MBNL1-AS1	pcHiC	Mahajan2022	T2D
MBTPS1	DEPICT	Lagou2023	RandomGlucose
MDH1	DEPICT	Lagou2023	RandomGlucose
MDH2	DEPICT	Lagou2023	RandomGlucose
MDM4	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MECOM	DEPICT	Lagou2023	RandomGlucose
MED1	MAGMA	Mahajan2022	T2D
MED23	MAGMA	Mahajan2022	T2D
MED9	DEPICT	Lagou2023	RandomGlucose
MEF2B	pcHiC	Mahajan2022	T2D
MEF2BNB	pcHiC	Mahajan2022	T2D
MEF2BNB-MEF2B	pcHiC	Mahajan2022	T2D
MEG3	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
MEPCE	DEPICT	Lagou2023	RandomGlucose
MESP1	pcHiC	Mahajan2022	T2D
METRNL	MAGMA	MAGIC2021_HbA1c	HbA1C
METTL15	DEPICT	Lagou2023	RandomGlucose
METTL7A	DEPICT	Lagou2023	RandomGlucose
MFHAS1	pcHiC,MAGMA	Mahajan2022	T2D
MGAT1	MAGMA,sTWAS	Mahajan2022	T2D
